BEGIN_DATE_TIME,EVENT_TYPE,CZ_NAME,STATE,CFSDate,IncidentType,ZIP Code
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,26 - BURGLARY,33134.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27R - LARCENY THEFT – RETAIL,33127.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27 - LARCENY THEFT,33142.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27V - LARCENY THEFT - MOTOR VEHICLE,33142.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27V - LARCENY THEFT - MOTOR VEHICLE,33125.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27 - LARCENY THEFT,33135.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,28 - VANDALISM,33135.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27V - LARCENY THEFT - MOTOR VEHICLE,33150.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27V - LARCENY THEFT - MOTOR VEHICLE,33142.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,26 - BURGLARY,33127.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,28 - VANDALISM,33127.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27 - LARCENY THEFT,33130.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27V - LARCENY THEFT - MOTOR VEHICLE,33127.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27R - LARCENY THEFT – RETAIL,33126.0
